"n","j","k","m","theta","replication","index_form","index"
100,3,3,5,0.1,32,"multinomial",1.25356372935707
100,3,3,5,0.1,32,"mixed",1.25031707359077
100,3,3,5,0.1,32,"mixed_population",1.24844564650986
100,3,3,5,0.1,33,"multinomial",1.43284428453319
100,3,3,5,0.1,33,"mixed",1.42871607469456
100,3,3,5,0.1,33,"mixed_population",1.42871670981368
100,3,3,5,0.1,34,"multinomial",1.30961348415118
100,3,3,5,0.1,34,"mixed",1.3047495981366
100,3,3,5,0.1,34,"mixed_population",1.30474959944233
100,3,3,5,0.1,35,"multinomial",1.33554256041574
100,3,3,5,0.1,35,"mixed",1.32970477789677
100,3,3,5,0.1,35,"mixed_population",1.32970492940034
100,3,3,5,0.1,36,"multinomial",1.33169312678838
100,3,3,5,0.1,36,"mixed",1.32523535408158
100,3,3,5,0.1,36,"mixed_population",1.3252353494344
100,3,3,5,0.1,37,"multinomial",1.26217828364087
100,3,3,5,0.1,37,"mixed",1.26095017006716
100,3,3,5,0.1,37,"mixed_population",1.26095003902744
100,3,3,5,0.1,38,"multinomial",1.16399856255476
100,3,3,5,0.1,38,"mixed",1.16318600121402
100,3,3,5,0.1,38,"mixed_population",1.16318599922542
100,3,3,5,0.1,39,"multinomial",1.32312064357734
100,3,3,5,0.1,39,"mixed",1.3248643107974
100,3,3,5,0.1,39,"mixed_population",1.32486431323393
100,3,3,5,0.1,40,"multinomial",1.33127315948614
100,3,3,5,0.1,40,"mixed",1.32633795488437
100,3,3,5,0.1,40,"mixed_population",1.32633795528006
100,3,3,5,0.1,41,"multinomial",1.28089491097088
100,3,3,5,0.1,41,"mixed",1.27513524284403
100,3,3,5,0.1,41,"mixed_population",1.27513524183505
100,3,3,5,0.1,42,"multinomial",1.28918890222852
100,3,3,5,0.1,42,"mixed",1.28107175695044
100,3,3,5,0.1,42,"mixed_population",1.28107142875428
100,3,3,5,0.1,43,"multinomial",1.19494118689824
100,3,3,5,0.1,43,"mixed",1.18897800098285
100,3,3,5,0.1,43,"mixed_population",1.18897798323753
